, Start Date,Last update,Role,Yrs Experience,Location," Gross 
Salary"
NS001,"Nov 05, 2018","Nov 05, 2018",Developer,2,MEX," $ 57,616.34 "
NS002,"Sep 17, 2018","Sep 17, 2018",Manual Tester,2,CUU," $ 34,544.73 "
NS003,"Jun 04, 2018","Jun 04, 2018",Developer,3,HMO," $ 26,576.49 "
NS004,"Aug 06, 2018","Aug 06, 2018",Developer,3,MEX," $ 35,872.65 "
NS005,"Oct 23, 2017","Nov 15, 2018",Developer,3,HMO," $ 50,000.02 "
NS006,"Apr 08, 2013","Nov 01, 2017",Manual Tester,3,HMO," $ 30,565.53 "
NS007,"Apr 08, 2013","Jul 15, 2018",Manual Tester,3,HMO," $ 35,000.22 "
NS008,"Oct 27, 2014","Nov 15, 2018",Manual Tester,3,HMO," $ 38,000.03 "
NS009,"Oct 16, 2017","Oct 16, 2017",Developer,4,MEX," $ 34,943.90 "
NS010,"Jan 29, 2018","Oct 15, 2018",Developer,4,MEX," $ 40,000.03 "
NS011,"Apr 09, 2018","Apr 09, 2018",Developer,4,CUU," $ 34,544.73 "
NS012,"Nov 19, 2018","Nov 19, 2018",Developer,4,HMO," $ 27,635.79 "
NS013,"Nov 26, 2018","Nov 26, 2018",Developer,4,MEX," $ 54,661.89 "
NS014,"Dec 03, 2018","Dec 03, 2018",Developer,4,CUU," $ 49,000.21 "
NS015,"Jan 18, 2016","May 01, 2017",Manual Tester,4,HMO," $ 26,578.58 "
NS016,"Nov 27, 2017","Nov 27, 2017",Developer,5,HMO," $ 34,943.90 "
NS017,"May 28, 2018","May 28, 2018",Developer,5,MEX," $ 44,322.08 "
NS018,"Jun 11, 2018","Jun 11, 2018",Developer,5,MEX," $ 48,753.37 "
NS019,"Aug 15, 2016","Jun 15, 2018",Developer,5,MEX," $ 66,500.10 "
NS020,"Apr 25, 2016","Jul 15, 2018",Developer,5,MEX," $ 42,000.03 "
NS021,"Aug 01, 2016","Jul 15, 2018",Developer,5,CUU," $ 52,000.02 "
NS022,"Oct 22, 2018","Oct 22, 2018",Developer,5,CUU," $ 39,908.17 "
NS023,"Apr 26, 2016","Nov 15, 2018",Developer,5,MEX," $ 60,570.41 "
NS024,"Nov 02, 2015","Apr 15, 2018",Manual Tester,5,HMO," $ 29,234.59 "
NS025,"Sep 03, 2018","Sep 03, 2018",Manual Tester,5,MEX," $ 57,616.34 "
NS026,"Jul 09, 2018","Jul 09, 2018",Developer,5,CUU," $ 35,000.22 "
NS027,"Oct 02, 2017","Oct 02, 2017",Developer,6,HMO," $ 47,499.55 "
NS028,"Aug 15, 2016","Nov 01, 2017",Developer,6,CUU," $ 38,561.74 "
NS029,"Nov 20, 2017","Nov 20, 2017",Developer,6,MEX," $ 37,898.35 "
NS030,"Jan 15, 2018","Jan 15, 2018",Developer,6,HMO," $ 45,866.97 "
NS031,"Apr 02, 2018","Apr 02, 2018",Developer,6,Other," $ 57,616.34 "
NS032,"May 14, 2018","May 14, 2018",Developer,6,CUU," $ 38,560.23 "
NS033,"Jun 04, 2018","Jun 04, 2018",Developer,6,MEX," $ 60,570.41 "
NS034,"Jul 23, 2018","Jul 23, 2018",Developer,6,MEX," $ 37,211.90 "
NS035,"Sep 19, 2016","Aug 15, 2018",Developer,6,MEX," $ 46,000.02 "
NS036,"Aug 20, 2018","Aug 20, 2018",Developer,6,MEX," $ 78,425.24 "
NS037,"Sep 09, 2014","Sep 15, 2018",Developer,6,MEX," $ 49,000.21 "
NS038,"Sep 03, 2018","Sep 03, 2018",Developer,6,HMO," $ 53,184.67 "
NS039,"Sep 17, 2018","Sep 17, 2018",Developer,6,MEX," $ 59,093.56 "
NS040,"Oct 01, 2018","Oct 01, 2018",Developer,6,MEX," $ 51,707.82 "
NS041,"Oct 01, 2018","Oct 01, 2018",Developer,6,MEX," $ 54,661.89 "
NS042,"Nov 05, 2018","Nov 05, 2018",Developer,6,MEX," $ 65,002.08 "
NS043,"May 14, 2018","May 14, 2018",Manual Tester,6,CUU," $ 37,211.90 "
NS044,"Apr 04, 2013","Aug 15, 2018",Manual Tester,6,HMO," $ 37,500.31 "
NS045,"Jun 01, 2015","Sep 01, 2017",Developer,7,CUU," $ 42,000.03 "
NS046,"Oct 10, 2016","Nov 01, 2017",Developer,7,CUU," $ 41,369.52 "
NS047,"May 14, 2018","May 14, 2018",Developer,7,HMO," $ 40,000.03 "
NS048,"Jun 04, 2018","Jun 04, 2018",Developer,7,HMO," $ 33,216.82 "
NS049,"Jun 11, 2018","Jun 11, 2018",Developer,7,CUU," $ 47,276.15 "
NS050,"Jun 04, 2018","Jun 04, 2018",Developer,7,MEX," $ 42,844.86 "
NS051,"Jun 18, 2018","Jun 18, 2018",Developer,7,MEX," $ 78,424.86 "
NS052,"Jul 23, 2018","Jul 23, 2018",Developer,7,CUU," $ 35,872.65 "
NS053,"Feb 01, 2016","Jul 15, 2018",Developer,7,HMO," $ 52,000.02 "
NS054,"Jun 13, 2016","Sep 15, 2018",Developer,7,Other," $ 59,000.20 "
NS055,"Sep 03, 2018","Sep 03, 2018",Developer,7,MEX," $ 60,570.41 "
NS056,"Oct 01, 2018","Oct 01, 2018",Developer,7,HMO," $ 44,322.08 "
NS057,"Nov 03, 2014","Oct 15, 2018",Developer,7,Other," $ 51,716.14 "
NS058,"Mar 28, 2016","Jun 15, 2018",Manual Tester,7,HMO," $ 38,000.03 "
NS059,"Jul 09, 2018","Jul 09, 2018",Manual Tester,7,HMO," $ 22,677.80 "
NS060,"Sep 17, 2018","Sep 17, 2018",Manual Tester,7,MEX," $ 41,367.63 "
NS061,"Aug 14, 2017","Oct 15, 2018",Manual Tester,7,CUU," $ 46,000.02 "
NS062,"Aug 15, 2016","Nov 15, 2018",Manual Tester,7,HMO," $ 40,000.03 "
NS063,"Apr 30, 2018","Apr 30, 2018",Manual Tester,7,HMO," $ 35,872.65 "
NS064,"Nov 13, 2017","Nov 13, 2017",Developer,8,HMO," $ 61,237.20 "
NS065,"Nov 27, 2017","Nov 27, 2017",Developer,8,MEX," $ 49,715.38 "
NS066,"Aug 31, 2015","Apr 15, 2018",Developer,8,CUU," $ 69,436.40 "
NS067,"Nov 02, 2015","May 15, 2018",Developer,8,Other," $ 53,189.58 "
NS068,"May 28, 2018","May 28, 2018",Developer,8,MEX," $ 54,661.89 "
NS069,"Feb 15, 2016","Jun 15, 2018",Developer,8,CUU," $ 41,000.22 "
NS070,"Jul 09, 2018","Jul 09, 2018",Developer,8,HMO," $ 44,322.08 "
NS071,"Nov 09, 2015","Jul 15, 2018",Developer,8,CUU," $ 49,000.21 "
NS072,"Feb 01, 2016","Jul 15, 2018",Developer,8,CUU," $ 57,615.21 "
NS073,"Nov 10, 2014","Jul 15, 2018",Developer,8,CUU," $ 59,094.32 "
NS074,"Jul 02, 2018","Jul 02, 2018",Developer,8,MEX," $ 60,570.41 "
NS075,"Sep 03, 2018","Sep 03, 2018",Developer,8,CUU," $ 27,904.41 "
NS076,"Sep 03, 2018","Sep 03, 2018",Developer,8,HMO," $ 44,322.08 "
NS077,"Feb 07, 2017","Sep 15, 2018",Developer,8,MEX," $ 59,000.20 "
NS078,"Oct 01, 2018","Oct 01, 2018",Developer,8,CUU," $ 50,230.98 "
NS079,"Mar 28, 2016","Oct 15, 2018",Developer,8,HMO," $ 39,000.22 "
NS080,"Oct 22, 2018","Oct 22, 2018",Developer,8,CUU," $ 48,753.37 "
NS081,"Sep 22, 2014","Nov 15, 2018",Developer,8,CUU," $ 55,000.20 "
NS082,"Aug 01, 2016","Nov 15, 2018",Developer,8,CUU," $ 48,000.02 "
NS083,"Nov 26, 2018","Nov 26, 2018",Developer,8,MEX," $ 65,002.08 "
NS084,"May 11, 2015","Nov 01, 2017",Manual Tester,8,CUU," $ 37,214.92 "
NS085,"Nov 06, 2017","Nov 06, 2017",Manual Tester,8,CUU," $ 46,760.18 "
NS086,"Jan 20, 2012","Nov 15, 2018",Manual Tester,8,HMO," $ 42,000.03 "
NS087,"Jul 23, 2018","Jul 23, 2018",Developer,8,CUU," $ 37,211.90 "
NS088,"Sep 04, 2017","Sep 04, 2017",Developer,9,MEX," $ 58,578.35 "
NS089,"Mar 19, 2013","Nov 01, 2017",Developer,9,Other," $ 51,716.89 "
NS090,"Nov 20, 2017","Nov 20, 2017",Developer,9,MEX," $ 52,669.83 "
NS091,"May 14, 2018","May 14, 2018",Developer,9,MEX," $ 50,230.98 "
NS092,"Jun 02, 2014","Jun 15, 2018",Developer,9,HMO," $ 52,000.02 "
NS093,"Jun 25, 2018","Jun 25, 2018",Developer,9,CUU," $ 48,753.37 "
NS094,"Jun 27, 2016","Jul 15, 2018",Developer,9,CUU," $ 49,000.21 "
NS095,"Mar 09, 2015","Jul 15, 2018",Developer,9,HMO," $ 50,000.02 "
NS096,"Nov 10, 2014","Aug 15, 2018",Developer,9,CUU," $ 53,000.20 "
NS097,"Oct 13, 2014","Aug 15, 2018",Developer,9,MEX," $ 59,000.20 "
NS098,"Oct 06, 2014","Sep 15, 2018",Developer,9,Other," $ 52,000.02 "
NS099,"Aug 01, 2016","Nov 15, 2018",Developer,9,CUU," $ 46,000.02 "
NS100,"Jan 06, 2014","Nov 15, 2018",Developer,9,HMO," $ 54,000.01 "
NS101,"Oct 18, 2015","Jan 31, 2019",DevOps,9,HMO," $ 67,000.00 "
NS102,"Aug 27, 2012","Nov 01, 2017",Manual Tester,9,HMO," $ 37,217.95 "
NS103,"Apr 01, 2013","Jun 15, 2018",Manual Tester,9,HMO," $ 44,500.12 "
NS104,"Aug 15, 2016","Nov 15, 2018",Manual Tester,9,MEX," $ 52,000.02 "
NS105,"Mar 09, 2015","Nov 01, 2017",Developer,9,CUU," $ 53,191.85 "
NS106,"Nov 01, 2012","Nov 15, 2018",Developer,9,HMO," $ 45,000.21 "
NS107,"Aug 01, 2016","Nov 15, 2018",Developer,9,HMO," $ 47,000.21 "
NS108,"Feb 24, 2014","Nov 01, 2017",Developer,10,HMO," $ 56,148.94 "
NS109,"Jul 17, 2017","Sep 15, 2018",Developer,10,HMO," $ 46,000.02 "
NS110,"Aug 14, 2017","Oct 15, 2018",Developer,10,CUU," $ 46,000.02 "
NS111,"May 09, 2016","Oct 15, 2018",Developer,10,MEX," $ 57,000.20 "
NS112,"Nov 19, 2018","Nov 19, 2018",Developer,10,CUU," $ 48,456.33 "
NS113,"May 04, 2015","Nov 15, 2018",Developer,10,MEX," $ 48,000.02 "
NS114,"Nov 26, 2018","Nov 26, 2018",Developer,10,MEX," $ 68,471.74 "
NS115,"Jul 02, 2018","Jul 02, 2018",Manual Tester,10,HMO," $ 33,216.82 "
NS116,"Oct 06, 2014","Jul 15, 2018",Manual Tester,10,Other," $ 40,000.03 "
NS117,"Feb 15, 2016","Jun 01, 2017",Developer,11,HMO," $ 50,234.76 "
NS118,"Apr 13, 2015","Oct 01, 2017",Developer,11,HMO," $ 51,712.36 "
NS119,"Apr 11, 2016","Nov 01, 2017",Developer,11,MEX," $ 59,096.21 "
NS120,"Dec 18, 2017","Dec 18, 2017",Developer,11,Other," $ 60,055.57 "
NS121,"Aug 19, 2013","Apr 15, 2018",Developer,11,HMO," $ 60,581.37 "
NS122,"Jan 09, 2017","May 15, 2018",Developer,11,HMO," $ 54,664.54 "
NS123,"Jun 29, 2015","May 15, 2018",Developer,11,HMO," $ 45,803.08 "
NS124,"Aug 14, 2017","Sep 15, 2018",Developer,11,CUU," $ 42,000.03 "
NS125,"Mar 28, 2016","Sep 15, 2018",Developer,11,CUU," $ 48,500.11 "
NS126,"Jun 23, 2014","Sep 15, 2018",Developer,11,MEX," $ 49,000.21 "
NS127,"May 09, 2016","Sep 15, 2018",Developer,11,MEX," $ 62,000.01 "
NS128,"Apr 25, 2016","Oct 15, 2018",Developer,11,Other," $ 60,000.01 "
NS129,"Apr 12, 2016","Nov 15, 2018",Developer,11,HMO," $ 70,000.00 "
NS130,"Mar 16, 2015","May 15, 2018",DevOps,11,HMO," $ 62,000.01 "
NS131,"Feb 05, 2018","Feb 05, 2018",Manual Tester,11,HMO," $ 34,544.73 "
NS132,"Jul 02, 2012","Apr 15, 2018",Manual Tester,11,Other," $ 47,284.47 "
NS133,"Jul 30, 2018","Jul 30, 2018",Manual Tester,11,CUU," $ 44,322.08 "
NS134,"Sep 08, 2014","Aug 15, 2018",Manual Tester,11,HMO," $ 37,216.44 "
NS135,"Aug 20, 2018","Aug 20, 2018",Manual Tester,11,CUU," $ 51,707.82 "
NS136,"Jun 23, 2014","Oct 15, 2018",Manual Tester,11,HMO," $ 33,000.22 "
NS137,"Jan 01, 2008","Oct 15, 2018",Manual Tester,11,HMO," $ 43,000.21 "
NS138,"Oct 23, 2017","Nov 15, 2018",Manual Tester,11,HMO," $ 37,000.22 "
NS139,"Dec 12, 2011","Sep 15, 2018",Manual Tester,11,HMO," $ 55,000.20 "
NS140,"Nov 27, 2017","Nov 27, 2017",Developer,12,CUU," $ 63,009.64 "
NS141,"Jan 27, 2014","Apr 15, 2018",Developer,12,HMO," $ 53,194.12 "
NS142,"Feb 24, 2014","Jul 15, 2018",Developer,12,MEX," $ 59,000.20 "
NS143,"Aug 06, 2018","Aug 06, 2018",Developer,12,HMO," $ 48,753.37 "
NS144,"Apr 26, 2016","Oct 15, 2018",Developer,12,MEX," $ 57,000.20 "
NS145,"Jun 13, 2016","Oct 15, 2018",Developer,12,HMO," $ 60,000.01 "
NS146,"Nov 12, 2018","Nov 12, 2018",Developer,12,HMO," $ 63,524.86 "
NS147,"Mar 28, 2016","Nov 01, 2017",Manual Tester,12,CUU," $ 48,755.64 "
NS148,"Sep 03, 2012","Nov 01, 2017",Manual Tester,12,HMO," $ 38,566.48 "
NS149,"Mar 29, 2016","Oct 15, 2018",Manual Tester,12,CUU," $ 48,000.02 "
NS150,"Jun 25, 2012","Nov 01, 2017",Developer,13,HMO," $ 34,550.40 "
NS151,"Jan 08, 2018","Jan 08, 2018",Developer,13,MEX," $ 51,778.51 "
NS152,"Feb 20, 2017","Jul 15, 2018",Developer,13,HMO," $ 56,000.01 "
NS153,"Aug 04, 2014","Sep 15, 2018",Developer,13,MEX," $ 60,000.01 "
NS154,"Oct 01, 2018","Oct 01, 2018",Developer,13,MEX," $ 37,211.90 "
NS155,"Dec 12, 2011","Nov 15, 2018",Developer,13,HMO," $ 57,000.20 "
NS156,"May 28, 2018","May 28, 2018",Manual Tester,13,HMO," $ 52,000.02 "
NS157,"Oct 16, 2014","Jul 15, 2018",Manual Tester,13,HMO," $ 43,000.21 "
NS158,"Oct 16, 2010","Apr 15, 2018",Developer,13,HMO," $ 51,716.89 "
NS159,"May 14, 2018","May 14, 2018",Developer,14,HMO," $ 62,047.63 "
NS160,"Jan 28, 2015","Oct 15, 2018",Developer,14,MEX," $ 60,000.01 "
NS161,"Mar 16, 2015","Nov 15, 2018",Developer,14,MEX," $ 57,000.20 "
NS162,"Aug 01, 2016","Nov 15, 2018",Developer,14,HMO," $ 59,000.20 "
NS163,"Aug 06, 2018","Aug 06, 2018",DevOps,14,MEX," $ 73,855.98 "
NS164,"Oct 22, 2012","Sep 15, 2018",Manual Tester,14,HMO," $ 50,000.02 "
NS165,"Oct 18, 2010","Aug 15, 2016",Developer,15,MEX," $ 75,312.03 "
NS166,"Jul 08, 2013","Aug 15, 2018",Developer,15,HMO," $ 52,000.02 "
NS167,"Sep 03, 2018","Sep 03, 2018",Developer,15,HMO," $ 73,855.98 "
NS168,"Aug 14, 2017","Oct 15, 2018",Developer,15,HMO," $ 60,000.01 "
NS169,"Jun 08, 2015","Nov 15, 2018",Developer,15,Other," $ 66,000.00 "
NS170,"May 09, 2016","Nov 15, 2018",Developer,15,CUU," $ 70,000.00 "
NS171,"Feb 02, 2015","Jul 15, 2018",Manual Tester,15,HMO," $ 47,500.30 "
NS172,"Apr 09, 2018","Apr 09, 2018",Manual Tester,16,CUU," $ 47,276.15 "
NS173,"May 05, 2015","May 15, 2018",Developer,16,MEX," $ 53,000.20 "
NS174,"Mar 19, 2018","Mar 19, 2018",Manual Tester,17,CUU," $ 41,367.63 "
NS175,"Oct 01, 2013","Nov 01, 2017",Developer,18,MEX," $ 78,253.25 "
NS176,"Jul 20, 2015","Nov 01, 2017",Developer,19,HMO," $ 56,144.03 "
NS177,"Jul 29, 2014","Jul 15, 2018",Developer,19,HMO," $ 52,000.02 "
NS178,"Feb 12, 2014","Oct 15, 2018",Developer,19,MEX," $ 60,000.01 "
NS179,"Aug 04, 2014","Jul 01, 2017",Developer,19,HMO," $ 51,714.63 "
NS180,"Sep 21, 2015","Nov 15, 2018",Developer,19,MEX," $ 63,000.19 "
NS181,"Mar 02, 2015","Oct 15, 2018",Developer,20,MEX," $ 64,000.00 "
NS182,"Jul 15, 2013","Nov 01, 2017",Developer,21,HMO," $ 50,239.29 "